id;id_2;nct_id;any paper (0=no paper, 1=article, 2=non-publication equivalent like abstract or poster);publication found (1=linked in registry, 2=google search - trial number, 3=google search - PI + intervention, 4=google, either via trial number or search terms);pmid;publication date (only fill in if no PMID available);comments from doublecheck;last_update_submitted_date;registration_date;summary_results_date;study_type;phase;enrollment;recruitment_status;title;start_date;completion_date;primary_completion_date;has_summary_results;allocation;masking;main_sponsor;is_multicentric;principal_investigator_1;principal_investigator_2;principal_investigator_3;study_chair_1;study_chair_2;study_director_1;study_director_2;unspecified_official;sub_investigator;registration_year;start_year;completion_year;primary_completion_year;affiliation;initial doublecheck (1=yes);main sample rater
777;141;NCT01638559;1;1;32786149;01.05.2021;;23.09.2019;09.07.2012;17.05.2017;Interventional;Phase 2;161;Completed;Immunosuppression Withdrawal for Stable Pediatric Liver Transplant Recipients;2012-08-14T00:00:00Z;2018-06-11T00:00:00Z;2016-03-31T00:00:00Z;TRUE;NA;None (Open Label);NIH;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2018;2016;UCSF;;Nicole
422;435;NCT02550561;1;3;32789810;13.08.2020;;19.03.2018;03.09.2015;NA;Interventional;Not Applicable;13;Completed;Pilot Study of Percutaneous Posterior Tibial Nerve Stimulation for the Treatment of IC/PBS;2015-06-01T00:00:00Z;2018-03-01T00:00:00Z;2017-12-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, Irvine;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2018;2017;UCI;;Emmanuel
483;210;NCT01717859;1;1;32803573;15.08.2020;;06.05.2019;19.10.2012;09.07.2018;Interventional;Phase 4;74;Completed;Musculoskeletal Ultrasound in Predicting Early Dose Titration With Tocilizumab;2014-09-01T00:00:00Z;2017-04-01T00:00:00Z;2017-04-01T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;UCLA David Geffen School of Medicine, Division of Rheumatology;NA;NA;NA;NA;NA;NA;NA;NA;2012;2014;2017;2017;UCLA;;Samruddhi
727;582;NCT02241226;1;3;32850982;31.07.2020;outcome switching - but at least one primary outcome is reported;14.12.2015;09.09.2014;NA;Interventional;Not Applicable;115;Completed;Self-Directed Biological Transformation Initiative;2014-09-01T00:00:00Z;2015-02-01T00:00:00Z;2015-02-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;Chopra Center for Wellbeing & University of California, San Diego;University of California, San Francisco;NA;Chopra Center for Wellbeing & University of California, San Diego;NA;University of California, San Diego;NA;NA;NA;2014;2014;2015;2015;UCSD, UCSF;;Susanne
955;687;NCT01983384;1;1;32925344;01.10.2020;;16.12.2019;29.10.2013;NA;Interventional;Not Applicable;205;Completed;Anesthetic Depth and Postoperative Delirium Trial - 2;2015-07-01T00:00:00Z;2017-10-01T00:00:00Z;2017-10-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2015;2017;2017;UCSF;;Nicole
1040;768;NCT03550144;1;2;32955293;21.09.2020;;10.10.2018;16.05.2018;NA;Interventional;Not Applicable;60;Completed;Improving Mental Health and Well-Being Via Awe Walks;2016-12-05T00:00:00Z;2018-05-26T00:00:00Z;2017-12-10T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2018;2016;2018;2017;UCSF;;Samruddhi
1044;771;NCT03982459;1;1;32997124;01.09.2020;;09.06.2019;27.05.2019;NA;Interventional;Not Applicable;76;Completed;National Comprehensive Cancer Network (NCCN) Decision Support Tool for Patients With NSCLC;2015-02-01T00:00:00Z;2018-09-01T00:00:00Z;2017-09-01T00:00:00Z;FALSE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2019;2015;2018;2017;UCSF;;Mario
800;199;NCT02408965;1;3;33075332;17.10.2020;;15.08.2019;11.03.2015;09.05.2018;Interventional;Phase 4;284;Completed;Uterotonic Prophylaxis Trial;2015-03-01T00:00:00Z;2017-03-01T00:00:00Z;2017-03-01T00:00:00Z;TRUE;Randomized;Quadruple;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2017;2017;UCSF;;Susanne
591;519;NCT02290938;1;1;33231130;24.11.2020;;24.04.2019;10.07.2014;NA;Interventional;Not Applicable;185;Completed;Motivational Interviewing and Culture for Urban Native American Youth (MICUNAY);2014-07-01T00:00:00Z;2018-06-01T00:00:00Z;2017-04-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2018;2017;UCLA;;Emmanuel
582;511;NCT02181114;1;1;33245618;15.09.2020;sample size (802 vs 815 in registry);30.04.2018;27.06.2014;NA;Interventional;Not Applicable;815;Completed;Your Path to Transplant: A Randomized Control Trial of A Tailored Computer Education Intervention for Living Donor Kidney Transplant;2014-05-01T00:00:00Z;2017-12-01T00:00:00Z;2017-12-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2017;2017;UCLA;;Samruddhi
824;252;NCT01555541;1;1;33288485;11.11.2020;outcome switching - but a primary outcome is reported;02.07.2021;09.03.2012;03.03.2019;Interventional;Phase 2;19;Completed;Study of Intensive Consolidation and Stem Cell Mobilization Therapy Followed by Autologous Stem Cell Transplantation in High-risk Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma;2012-05-25T00:00:00Z;2021-07-01T00:00:00Z;2017-07-06T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2021;2017;UCSF;;Susanne
961;693;NCT02026544;1;1;33313066;21.08.2020;combination of preclinical and clinical report;20.04.2021;19.12.2013;NA;Interventional;Not Applicable;10;Completed;Effect of Low Frequency Ultrasound on Kidney Function;2014-01-28T00:00:00Z;2014-10-06T00:00:00Z;2014-10-06T00:00:00Z;FALSE;NA;None (Open Label);INDUSTRY;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2013;2014;2014;2014;UCSF;;Nicole
232;352;NCT02360449;1;1;33387236;02.01.2021;;06.01.2021;05.02.2015;NA;Interventional;Not Applicable;44;Completed;Social Motivation Intervention for Children With Autism Spectrum Disorder: Improving Peer Initiation;2015-01-01T00:00:00Z;2020-11-05T00:00:00Z;2017-07-19T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2020;2017;Stanford;;Nicole
745;600;NCT04522635;1;1;33407747;06.01.2021;;20.08.2020;18.08.2020;NA;Interventional;Phase 4;65;Completed;Fluid Mobilization in Hospitalized Patients With Acute Kidney Injury;2015-06-03T00:00:00Z;2019-12-31T00:00:00Z;2017-12-15T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;TRUE;UCSD;NA;NA;NA;NA;NA;NA;NA;NA;2020;2015;2019;2017;UCSD;;Stefanie
407;427;NCT01423266;1;3;33502122;27.01.2021;;19.05.2016;15.08.2011;NA;Interventional;Not Applicable;78;Completed;Effects of a High Protein Diet on Clinical Outcomes in Heart Failure;2009-12-01T00:00:00Z;2015-12-01T00:00:00Z;2015-12-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Irvine;NA;NA;NA;NA;NA;NA;NA;NA;2011;2009;2015;2015;UCI;;Stefanie
1007;736;NCT02491190;1;1;33504589;01.01.2021;sample size deviation, similar outcome analysed;12.05.2016;26.06.2015;NA;Interventional;Not Applicable;58;Completed;Using Multimedia Digital Health to Enable and Engage Pediatric Inpatients and Their Parents;2015-08-01T00:00:00Z;2016-03-01T00:00:00Z;2016-01-01T00:00:00Z;FALSE;Randomized;Single;OTHER;TRUE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2015;2016;2016;UCSF;;Samruddhi
996;725;NCT02373657;1;2;33534742;01.02.2021;;23.06.2021;23.02.2015;NA;Interventional;Not Applicable;4068;Completed;Water Uptake for Health in Amhara Pilot;2014-04-01T00:00:00Z;2017-05-01T00:00:00Z;2017-05-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;F.I. Proctor Foundation, University of California San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2015;2014;2017;2017;UCSF;;Mario
939;671;NCT01877330;1;2;33600437;18.02.2021;;17.03.2020;12.12.2012;NA;Interventional;Not Applicable;208;Completed;Optimal Location of Local Anesthetic Injection for Ultrasound Guided Interscalene Block;2013-01-01T00:00:00Z;2016-04-01T00:00:00Z;2016-03-01T00:00:00Z;FALSE;Randomized;Double;OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2012;2013;2016;2016;UCSF;;Susanne
347;397;NCT02224976;1;1;33651630;02.03.2021;Charite IP blocked from accessing complete article;26.01.2016;21.08.2014;NA;Interventional;Not Applicable;18;Completed;Effect of Intense Training on Ovarian Function and Bone Turnover;2014-01-01T00:00:00Z;2015-12-01T00:00:00Z;2015-12-01T00:00:00Z;FALSE;NA;None (Open Label);FED;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2014;2014;2015;2015;UCD;;Samruddhi
345;395;NCT02143011;0;3;33652807;26.02.2021;I found this one by searching for orange juice trial and PI;14.01.2019;16.05.2014;NA;Interventional;Not Applicable;23;Completed;Stress and Sugar Synergy;2014-04-01T00:00:00Z;2016-12-01T00:00:00Z;2016-12-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;University of California, Davis;NA;NA;NA;2014;2014;2016;2016;UCD;;Nicole
364;412;NCT02804490;1;1;33693468;08.05.2021;;16.08.2017;15.06.2016;NA;Interventional;Phase 3;255;Completed;Efficacy of Biofortified Maize to Improve Maternal and Infant Vitamin A Status;2016-03-01T00:00:00Z;2017-06-02T00:00:00Z;2017-06-02T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;NA;NA;NA;NA;NA;University of California, Davis;NA;NA;NA;2016;2016;2017;2017;UCD;;Mario
